episode_index,split,family,subset,map_name,seed,num_agents,status,makespan,soc,rectangular_actions,goal_waits_removed,num_samples,planner,path,error
16,maze_train,maze,train,medium-mazes-seed-0000,5,24,generated,37,469,888,419,469,mapf_lns2,episode_0000016_medium-mazes-seed-0000_s5_n24.npz,
17,maze_train,maze,train,medium-mazes-seed-0000,5,32,generated,35,636,1120,484,636,mapf_lns2,episode_0000017_medium-mazes-seed-0000_s5_n32.npz,
18,maze_train,maze,train,medium-mazes-seed-0000,6,16,generated,44,293,704,411,293,mapf_lns2,episode_0000018_medium-mazes-seed-0000_s6_n16.npz,
19,maze_train,maze,train,medium-mazes-seed-0000,6,24,generated,45,548,1080,532,548,mapf_lns2,episode_0000019_medium-mazes-seed-0000_s6_n24.npz,
20,maze_train,maze,train,medium-mazes-seed-0000,6,32,generated,45,720,1440,720,720,mapf_lns2,episode_0000020_medium-mazes-seed-0000_s6_n32.npz,
21,maze_train,maze,train,medium-mazes-seed-0000,7,16,generated,41,382,656,274,382,mapf_lns2,episode_0000021_medium-mazes-seed-0000_s7_n16.npz,
22,maze_train,maze,train,medium-mazes-seed-0000,7,24,generated,38,555,912,357,555,mapf_lns2,episode_0000022_medium-mazes-seed-0000_s7_n24.npz,
23,maze_train,maze,train,medium-mazes-seed-0000,7,32,generated,38,776,1216,440,776,mapf_lns2,episode_0000023_medium-mazes-seed-0000_s7_n32.npz,
24,maze_train,maze,train,medium-mazes-seed-0000,8,16,generated,37,328,592,264,328,mapf_lns2,episode_0000024_medium-mazes-seed-0000_s8_n16.npz,
25,maze_train,maze,train,medium-mazes-seed-0000,8,24,generated,37,477,888,411,477,mapf_lns2,episode_0000025_medium-mazes-seed-0000_s8_n24.npz,
26,maze_train,maze,train,medium-mazes-seed-0000,8,32,generated,40,685,1280,595,685,mapf_lns2,episode_0000026_medium-mazes-seed-0000_s8_n32.npz,
27,maze_train,maze,train,medium-mazes-seed-0000,9,16,generated,36,328,576,248,328,mapf_lns2,episode_0000027_medium-mazes-seed-0000_s9_n16.npz,
28,maze_train,maze,train,medium-mazes-seed-0000,9,24,generated,36,481,864,383,481,mapf_lns2,episode_0000028_medium-mazes-seed-0000_s9_n24.npz,
29,maze_train,maze,train,medium-mazes-seed-0000,9,32,generated,36,674,1152,478,674,mapf_lns2,episode_0000029_medium-mazes-seed-0000_s9_n32.npz,
30,maze_train,maze,train,medium-mazes-seed-0001,0,16,generated,38,306,608,302,306,mapf_lns2,episode_0000030_medium-mazes-seed-0001_s0_n16.npz,
31,maze_train,maze,train,medium-mazes-seed-0001,0,24,generated,48,523,1152,629,523,mapf_lns2,episode_0000031_medium-mazes-seed-0001_s0_n24.npz,
32,maze_train,maze,train,medium-mazes-seed-0001,0,32,generated,40,676,1280,604,676,mapf_lns2,episode_0000032_medium-mazes-seed-0001_s0_n32.npz,
33,maze_train,maze,train,medium-mazes-seed-0001,1,16,generated,26,287,416,129,287,mapf_lns2,episode_0000033_medium-mazes-seed-0001_s1_n16.npz,
34,maze_train,maze,train,medium-mazes-seed-0001,1,24,generated,39,484,936,452,484,mapf_lns2,episode_0000034_medium-mazes-seed-0001_s1_n24.npz,
35,maze_train,maze,train,medium-mazes-seed-0001,1,32,generated,36,665,1152,487,665,mapf_lns2,episode_0000035_medium-mazes-seed-0001_s1_n32.npz,
36,maze_train,maze,train,medium-mazes-seed-0001,2,16,generated,40,310,640,330,310,mapf_lns2,episode_0000036_medium-mazes-seed-0001_s2_n16.npz,
37,maze_train,maze,train,medium-mazes-seed-0001,2,24,generated,40,474,960,486,474,mapf_lns2,episode_0000037_medium-mazes-seed-0001_s2_n24.npz,
38,maze_train,maze,train,medium-mazes-seed-0001,2,32,generated,40,700,1280,580,700,mapf_lns2,episode_0000038_medium-mazes-seed-0001_s2_n32.npz,
39,maze_train,maze,train,medium-mazes-seed-0001,3,16,generated,35,309,560,251,309,mapf_lns2,episode_0000039_medium-mazes-seed-0001_s3_n16.npz,
40,maze_train,maze,train,medium-mazes-seed-0001,3,24,generated,39,529,936,407,529,mapf_lns2,episode_0000040_medium-mazes-seed-0001_s3_n24.npz,
41,maze_train,maze,train,medium-mazes-seed-0001,3,32,generated,40,767,1280,513,767,mapf_lns2,episode_0000041_medium-mazes-seed-0001_s3_n32.npz,
42,maze_train,maze,train,medium-mazes-seed-0001,4,16,generated,42,267,672,405,267,mapf_lns2,episode_0000042_medium-mazes-seed-0001_s4_n16.npz,
43,maze_train,maze,train,medium-mazes-seed-0001,4,24,generated,44,474,1056,582,474,mapf_lns2,episode_0000043_medium-mazes-seed-0001_s4_n24.npz,
44,maze_train,maze,train,medium-mazes-seed-0001,4,32,generated,40,690,1280,590,690,mapf_lns2,episode_0000044_medium-mazes-seed-0001_s4_n32.npz,
45,maze_train,maze,train,medium-mazes-seed-0001,5,16,generated,31,322,496,174,322,mapf_lns2,episode_0000045_medium-mazes-seed-0001_s5_n16.npz,
46,maze_train,maze,train,medium-mazes-seed-0001,5,24,generated,32,478,768,290,478,mapf_lns2,episode_0000046_medium-mazes-seed-0001_s5_n24.npz,
47,maze_train,maze,train,medium-mazes-seed-0001,5,32,generated,38,671,1216,545,671,mapf_lns2,episode_0000047_medium-mazes-seed-0001_s5_n32.npz,
48,maze_train,maze,train,medium-mazes-seed-0001,6,16,generated,35,286,560,274,286,mapf_lns2,episode_0000048_medium-mazes-seed-0001_s6_n16.npz,
49,maze_train,maze,train,medium-mazes-seed-0001,6,24,generated,43,457,1032,575,457,mapf_lns2,episode_0000049_medium-mazes-seed-0001_s6_n24.npz,
50,maze_train,maze,train,medium-mazes-seed-0001,6,32,generated,43,637,1376,739,637,mapf_lns2,episode_0000050_medium-mazes-seed-0001_s6_n32.npz,
51,maze_train,maze,train,medium-mazes-seed-0001,7,16,generated,27,293,432,139,293,mapf_lns2,episode_0000051_medium-mazes-seed-0001_s7_n16.npz,
52,maze_train,maze,train,medium-mazes-seed-0001,7,24,generated,39,496,936,440,496,mapf_lns2,episode_0000052_medium-mazes-seed-0001_s7_n24.npz,
53,maze_train,maze,train,medium-mazes-seed-0001,7,32,generated,42,726,1344,618,726,mapf_lns2,episode_0000053_medium-mazes-seed-0001_s7_n32.npz,
54,maze_train,maze,train,medium-mazes-seed-0001,8,16,generated,33,293,528,235,293,mapf_lns2,episode_0000054_medium-mazes-seed-0001_s8_n16.npz,
55,maze_train,maze,train,medium-mazes-seed-0001,8,24,generated,35,461,840,379,461,mapf_lns2,episode_0000055_medium-mazes-seed-0001_s8_n24.npz,
56,maze_train,maze,train,medium-mazes-seed-0001,8,32,generated,36,634,1152,518,634,mapf_lns2,episode_0000056_medium-mazes-seed-0001_s8_n32.npz,
57,maze_train,maze,train,medium-mazes-seed-0001,9,16,generated,41,359,656,297,359,mapf_lns2,episode_0000057_medium-mazes-seed-0001_s9_n16.npz,
58,maze_train,maze,train,medium-mazes-seed-0001,9,24,generated,37,544,888,344,544,mapf_lns2,episode_0000058_medium-mazes-seed-0001_s9_n24.npz,
59,maze_train,maze,train,medium-mazes-seed-0001,9,32,generated,43,742,1376,634,742,mapf_lns2,episode_0000059_medium-mazes-seed-0001_s9_n32.npz,
60,maze_train,maze,train,medium-mazes-seed-0002,0,16,generated,36,251,576,325,251,mapf_lns2,episode_0000060_medium-mazes-seed-0002_s0_n16.npz,
61,maze_train,maze,train,medium-mazes-seed-0002,0,24,generated,50,408,1200,792,408,mapf_lns2,episode_0000061_medium-mazes-seed-0002_s0_n24.npz,
62,maze_train,maze,train,medium-mazes-seed-0002,0,32,generated,51,619,1632,1013,619,mapf_lns2,episode_0000062_medium-mazes-seed-0002_s0_n32.npz,
63,maze_train,maze,train,medium-mazes-seed-0002,1,16,generated,30,290,480,190,290,mapf_lns2,episode_0000063_medium-mazes-seed-0002_s1_n16.npz,
64,maze_train,maze,train,medium-mazes-seed-0002,1,24,generated,32,505,768,263,505,mapf_lns2,episode_0000064_medium-mazes-seed-0002_s1_n24.npz,
65,maze_train,maze,train,medium-mazes-seed-0002,1,32,generated,36,648,1152,504,648,mapf_lns2,episode_0000065_medium-mazes-seed-0002_s1_n32.npz,
66,maze_train,maze,train,medium-mazes-seed-0002,2,16,generated,37,284,592,308,284,mapf_lns2,episode_0000066_medium-mazes-seed-0002_s2_n16.npz,
67,maze_train,maze,train,medium-mazes-seed-0002,2,24,generated,36,443,864,421,443,mapf_lns2,episode_0000067_medium-mazes-seed-0002_s2_n24.npz,
68,maze_train,maze,train,medium-mazes-seed-0002,2,32,generated,38,600,1216,616,600,mapf_lns2,episode_0000068_medium-mazes-seed-0002_s2_n32.npz,
69,maze_train,maze,train,medium-mazes-seed-0002,3,16,generated,34,334,544,210,334,mapf_lns2,episode_0000069_medium-mazes-seed-0002_s3_n16.npz,
70,maze_train,maze,train,medium-mazes-seed-0002,3,24,generated,36,506,864,358,506,mapf_lns2,episode_0000070_medium-mazes-seed-0002_s3_n24.npz,
71,maze_train,maze,train,medium-mazes-seed-0002,3,32,generated,38,689,1216,527,689,mapf_lns2,episode_0000071_medium-mazes-seed-0002_s3_n32.npz,
72,maze_train,maze,train,medium-mazes-seed-0002,4,16,generated,37,295,592,297,295,mapf_lns2,episode_0000072_medium-mazes-seed-0002_s4_n16.npz,
73,maze_train,maze,train,medium-mazes-seed-0002,4,24,generated,37,472,888,416,472,mapf_lns2,episode_0000073_medium-mazes-seed-0002_s4_n24.npz,
74,maze_train,maze,train,medium-mazes-seed-0002,4,32,generated,41,701,1312,611,701,mapf_lns2,episode_0000074_medium-mazes-seed-0002_s4_n32.npz,
75,maze_train,maze,train,medium-mazes-seed-0002,5,16,generated,37,279,592,313,279,mapf_lns2,episode_0000075_medium-mazes-seed-0002_s5_n16.npz,
76,maze_train,maze,train,medium-mazes-seed-0002,5,24,generated,37,512,888,376,512,mapf_lns2,episode_0000076_medium-mazes-seed-0002_s5_n24.npz,
77,maze_train,maze,train,medium-mazes-seed-0002,5,32,generated,38,652,1216,564,652,mapf_lns2,episode_0000077_medium-mazes-seed-0002_s5_n32.npz,
78,maze_train,maze,train,medium-mazes-seed-0002,6,16,generated,35,349,560,211,349,mapf_lns2,episode_0000078_medium-mazes-seed-0002_s6_n16.npz,
79,maze_train,maze,train,medium-mazes-seed-0002,6,24,generated,35,509,840,331,509,mapf_lns2,episode_0000079_medium-mazes-seed-0002_s6_n24.npz,
80,maze_train,maze,train,medium-mazes-seed-0002,6,32,generated,40,723,1280,557,723,mapf_lns2,episode_0000080_medium-mazes-seed-0002_s6_n32.npz,
81,maze_train,maze,train,medium-mazes-seed-0002,7,16,generated,37,303,592,289,303,mapf_lns2,episode_0000081_medium-mazes-seed-0002_s7_n16.npz,
82,maze_train,maze,train,medium-mazes-seed-0002,7,24,generated,37,530,888,358,530,mapf_lns2,episode_0000082_medium-mazes-seed-0002_s7_n24.npz,
83,maze_train,maze,train,medium-mazes-seed-0002,7,32,generated,43,687,1376,689,687,mapf_lns2,episode_0000083_medium-mazes-seed-0002_s7_n32.npz,
84,maze_train,maze,train,medium-mazes-seed-0002,8,16,generated,32,334,512,178,334,mapf_lns2,episode_0000084_medium-mazes-seed-0002_s8_n16.npz,
85,maze_train,maze,train,medium-mazes-seed-0002,8,24,generated,33,543,792,249,543,mapf_lns2,episode_0000085_medium-mazes-seed-0002_s8_n24.npz,
86,maze_train,maze,train,medium-mazes-seed-0002,8,32,generated,38,741,1216,475,741,mapf_lns2,episode_0000086_medium-mazes-seed-0002_s8_n32.npz,
87,maze_train,maze,train,medium-mazes-seed-0002,9,16,generated,37,213,592,379,213,mapf_lns2,episode_0000087_medium-mazes-seed-0002_s9_n16.npz,
88,maze_train,maze,train,medium-mazes-seed-0002,9,24,generated,37,408,888,480,408,mapf_lns2,episode_0000088_medium-mazes-seed-0002_s9_n24.npz,
89,maze_train,maze,train,medium-mazes-seed-0002,9,32,generated,39,637,1248,611,637,mapf_lns2,episode_0000089_medium-mazes-seed-0002_s9_n32.npz,
90,maze_train,maze,train,medium-mazes-seed-0003,0,16,generated,31,261,496,235,261,mapf_lns2,episode_0000090_medium-mazes-seed-0003_s0_n16.npz,
91,maze_train,maze,train,medium-mazes-seed-0003,0,24,generated,31,372,744,372,372,mapf_lns2,episode_0000091_medium-mazes-seed-0003_s0_n24.npz,
92,maze_train,maze,train,medium-mazes-seed-0003,0,32,generated,27,515,864,349,515,mapf_lns2,episode_0000092_medium-mazes-seed-0003_s0_n32.npz,
93,maze_train,maze,train,medium-mazes-seed-0003,1,16,generated,31,296,496,200,296,mapf_lns2,episode_0000093_medium-mazes-seed-0003_s1_n16.npz,
94,maze_train,maze,train,medium-mazes-seed-0003,1,24,generated,34,464,816,352,464,mapf_lns2,episode_0000094_medium-mazes-seed-0003_s1_n24.npz,
95,maze_train,maze,train,medium-mazes-seed-0003,1,32,generated,34,571,1088,517,571,mapf_lns2,episode_0000095_medium-mazes-seed-0003_s1_n32.npz,
96,maze_train,maze,train,medium-mazes-seed-0003,2,16,generated,25,216,400,184,216,mapf_lns2,episode_0000096_medium-mazes-seed-0003_s2_n16.npz,
97,maze_train,maze,train,medium-mazes-seed-0003,2,24,generated,30,383,720,337,383,mapf_lns2,episode_0000097_medium-mazes-seed-0003_s2_n24.npz,
98,maze_train,maze,train,medium-mazes-seed-0003,2,32,generated,32,535,1024,489,535,mapf_lns2,episode_0000098_medium-mazes-seed-0003_s2_n32.npz,
99,maze_train,maze,train,medium-mazes-seed-0003,3,16,generated,34,253,544,291,253,mapf_lns2,episode_0000099_medium-mazes-seed-0003_s3_n16.npz,
100,maze_train,maze,train,medium-mazes-seed-0003,3,24,generated,38,438,912,474,438,mapf_lns2,episode_0000100_medium-mazes-seed-0003_s3_n24.npz,
101,maze_train,maze,train,medium-mazes-seed-0003,3,32,generated,38,557,1216,659,557,mapf_lns2,episode_0000101_medium-mazes-seed-0003_s3_n32.npz,
102,maze_train,maze,train,medium-mazes-seed-0003,4,16,generated,33,281,528,247,281,mapf_lns2,episode_0000102_medium-mazes-seed-0003_s4_n16.npz,
103,maze_train,maze,train,medium-mazes-seed-0003,4,24,generated,35,460,840,380,460,mapf_lns2,episode_0000103_medium-mazes-seed-0003_s4_n24.npz,
104,maze_train,maze,train,medium-mazes-seed-0003,4,32,generated,31,579,992,413,579,mapf_lns2,episode_0000104_medium-mazes-seed-0003_s4_n32.npz,
105,maze_train,maze,train,medium-mazes-seed-0003,5,16,generated,30,249,480,231,249,mapf_lns2,episode_0000105_medium-mazes-seed-0003_s5_n16.npz,
106,maze_train,maze,train,medium-mazes-seed-0003,5,24,generated,32,372,768,396,372,mapf_lns2,episode_0000106_medium-mazes-seed-0003_s5_n24.npz,
107,maze_train,maze,train,medium-mazes-seed-0003,5,32,generated,32,510,1024,514,510,mapf_lns2,episode_0000107_medium-mazes-seed-0003_s5_n32.npz,
108,maze_train,maze,train,medium-mazes-seed-0003,6,16,generated,28,238,448,210,238,mapf_lns2,episode_0000108_medium-mazes-seed-0003_s6_n16.npz,
109,maze_train,maze,train,medium-mazes-seed-0003,6,24,generated,30,377,720,343,377,mapf_lns2,episode_0000109_medium-mazes-seed-0003_s6_n24.npz,
110,maze_train,maze,train,medium-mazes-seed-0003,6,32,generated,44,520,1408,888,520,mapf_lns2,episode_0000110_medium-mazes-seed-0003_s6_n32.npz,
111,maze_train,maze,train,medium-mazes-seed-0003,7,16,generated,30,215,480,265,215,mapf_lns2,episode_0000111_medium-mazes-seed-0003_s7_n16.npz,
112,maze_train,maze,train,medium-mazes-seed-0003,7,24,generated,30,339,720,381,339,mapf_lns2,episode_0000112_medium-mazes-seed-0003_s7_n24.npz,
113,maze_train,maze,train,medium-mazes-seed-0003,7,32,generated,32,516,1024,508,516,mapf_lns2,episode_0000113_medium-mazes-seed-0003_s7_n32.npz,
114,maze_train,maze,train,medium-mazes-seed-0003,8,16,generated,25,250,400,150,250,mapf_lns2,episode_0000114_medium-mazes-seed-0003_s8_n16.npz,
115,maze_train,maze,train,medium-mazes-seed-0003,8,24,generated,28,396,672,276,396,mapf_lns2,episode_0000115_medium-mazes-seed-0003_s8_n24.npz,
116,maze_train,maze,train,medium-mazes-seed-0003,8,32,generated,32,589,1024,435,589,mapf_lns2,episode_0000116_medium-mazes-seed-0003_s8_n32.npz,
117,maze_train,maze,train,medium-mazes-seed-0003,9,16,generated,31,301,496,195,301,mapf_lns2,episode_0000117_medium-mazes-seed-0003_s9_n16.npz,
118,maze_train,maze,train,medium-mazes-seed-0003,9,24,generated,35,458,840,382,458,mapf_lns2,episode_0000118_medium-mazes-seed-0003_s9_n24.npz,
119,maze_train,maze,train,medium-mazes-seed-0003,9,32,generated,35,625,1120,495,625,mapf_lns2,episode_0000119_medium-mazes-seed-0003_s9_n32.npz,
120,maze_train,maze,train,medium-mazes-seed-0004,0,16,generated,35,329,560,231,329,mapf_lns2,episode_0000120_medium-mazes-seed-0004_s0_n16.npz,
121,maze_train,maze,train,medium-mazes-seed-0004,0,24,generated,38,559,912,353,559,mapf_lns2,episode_0000121_medium-mazes-seed-0004_s0_n24.npz,
122,maze_train,maze,train,medium-mazes-seed-0004,0,32,generated,39,770,1248,478,770,mapf_lns2,episode_0000122_medium-mazes-seed-0004_s0_n32.npz,
123,maze_train,maze,train,medium-mazes-seed-0004,1,16,generated,37,304,592,288,304,mapf_lns2,episode_0000123_medium-mazes-seed-0004_s1_n16.npz,
124,maze_train,maze,train,medium-mazes-seed-0004,1,24,generated,34,540,816,276,540,mapf_lns2,episode_0000124_medium-mazes-seed-0004_s1_n24.npz,
125,maze_train,maze,train,medium-mazes-seed-0004,1,32,generated,40,767,1280,513,767,mapf_lns2,episode_0000125_medium-mazes-seed-0004_s1_n32.npz,
126,maze_train,maze,train,medium-mazes-seed-0004,2,16,generated,30,351,480,129,351,mapf_lns2,episode_0000126_medium-mazes-seed-0004_s2_n16.npz,
127,maze_train,maze,train,medium-mazes-seed-0004,2,24,generated,40,553,960,407,553,mapf_lns2,episode_0000127_medium-mazes-seed-0004_s2_n24.npz,
128,maze_train,maze,train,medium-mazes-seed-0004,2,32,generated,49,861,1568,707,861,mapf_lns2,episode_0000128_medium-mazes-seed-0004_s2_n32.npz,
129,maze_train,maze,train,medium-mazes-seed-0004,3,16,generated,36,321,576,255,321,mapf_lns2,episode_0000129_medium-mazes-seed-0004_s3_n16.npz,
130,maze_train,maze,train,medium-mazes-seed-0004,3,24,generated,37,487,888,401,487,mapf_lns2,episode_0000130_medium-mazes-seed-0004_s3_n24.npz,
131,maze_train,maze,train,medium-mazes-seed-0004,3,32,generated,44,779,1408,629,779,mapf_lns2,episode_0000131_medium-mazes-seed-0004_s3_n32.npz,
132,maze_train,maze,train,medium-mazes-seed-0004,4,16,generated,36,347,576,229,347,mapf_lns2,episode_0000132_medium-mazes-seed-0004_s4_n16.npz,
133,maze_train,maze,train,medium-mazes-seed-0004,4,24,generated,36,547,864,317,547,mapf_lns2,episode_0000133_medium-mazes-seed-0004_s4_n24.npz,
134,maze_train,maze,train,medium-mazes-seed-0004,4,32,generated,44,716,1408,692,716,mapf_lns2,episode_0000134_medium-mazes-seed-0004_s4_n32.npz,
135,maze_train,maze,train,medium-mazes-seed-0004,5,16,generated,43,377,688,311,377,mapf_lns2,episode_0000135_medium-mazes-seed-0004_s5_n16.npz,
136,maze_train,maze,train,medium-mazes-seed-0004,5,24,generated,43,512,1032,520,512,mapf_lns2,episode_0000136_medium-mazes-seed-0004_s5_n24.npz,
137,maze_train,maze,train,medium-mazes-seed-0004,5,32,generated,65,677,2080,1403,677,mapf_lns2,episode_0000137_medium-mazes-seed-0004_s5_n32.npz,
138,maze_train,maze,train,medium-mazes-seed-0004,6,16,generated,34,308,544,236,308,mapf_lns2,episode_0000138_medium-mazes-seed-0004_s6_n16.npz,
139,maze_train,maze,train,medium-mazes-seed-0004,6,24,generated,34,452,816,364,452,mapf_lns2,episode_0000139_medium-mazes-seed-0004_s6_n24.npz,
140,maze_train,maze,train,medium-mazes-seed-0004,6,32,generated,37,693,1184,491,693,mapf_lns2,episode_0000140_medium-mazes-seed-0004_s6_n32.npz,
141,maze_train,maze,train,medium-mazes-seed-0004,7,16,generated,31,348,496,148,348,mapf_lns2,episode_0000141_medium-mazes-seed-0004_s7_n16.npz,
142,maze_train,maze,train,medium-mazes-seed-0004,7,24,generated,38,504,912,408,504,mapf_lns2,episode_0000142_medium-mazes-seed-0004_s7_n24.npz,
143,maze_train,maze,train,medium-mazes-seed-0004,7,32,generated,41,731,1312,581,731,mapf_lns2,episode_0000143_medium-mazes-seed-0004_s7_n32.npz,
144,maze_train,maze,train,medium-mazes-seed-0004,8,16,generated,39,327,624,297,327,mapf_lns2,episode_0000144_medium-mazes-seed-0004_s8_n16.npz,
145,maze_train,maze,train,medium-mazes-seed-0004,8,24,generated,39,524,936,412,524,mapf_lns2,episode_0000145_medium-mazes-seed-0004_s8_n24.npz,
146,maze_train,maze,train,medium-mazes-seed-0004,8,32,generated,38,769,1216,447,769,mapf_lns2,episode_0000146_medium-mazes-seed-0004_s8_n32.npz,
147,maze_train,maze,train,medium-mazes-seed-0004,9,16,generated,44,402,704,302,402,mapf_lns2,episode_0000147_medium-mazes-seed-0004_s9_n16.npz,
148,maze_train,maze,train,medium-mazes-seed-0004,9,24,generated,50,635,1200,565,635,mapf_lns2,episode_0000148_medium-mazes-seed-0004_s9_n24.npz,
149,maze_train,maze,train,medium-mazes-seed-0004,9,32,generated,54,837,1728,891,837,mapf_lns2,episode_0000149_medium-mazes-seed-0004_s9_n32.npz,
150,maze_train,maze,train,medium-mazes-seed-0005,0,16,generated,32,239,512,273,239,mapf_lns2,episode_0000150_medium-mazes-seed-0005_s0_n16.npz,
151,maze_train,maze,train,medium-mazes-seed-0005,0,24,generated,35,393,840,447,393,mapf_lns2,episode_0000151_medium-mazes-seed-0005_s0_n24.npz,
152,maze_train,maze,train,medium-mazes-seed-0005,0,32,generated,39,589,1248,659,589,mapf_lns2,episode_0000152_medium-mazes-seed-0005_s0_n32.npz,
153,maze_train,maze,train,medium-mazes-seed-0005,1,16,generated,27,265,432,167,265,mapf_lns2,episode_0000153_medium-mazes-seed-0005_s1_n16.npz,
154,maze_train,maze,train,medium-mazes-seed-0005,1,24,generated,30,433,720,287,433,mapf_lns2,episode_0000154_medium-mazes-seed-0005_s1_n24.npz,
155,maze_train,maze,train,medium-mazes-seed-0005,1,32,generated,34,611,1088,477,611,mapf_lns2,episode_0000155_medium-mazes-seed-0005_s1_n32.npz,
156,maze_train,maze,train,medium-mazes-seed-0005,2,16,generated,27,296,432,136,296,mapf_lns2,episode_0000156_medium-mazes-seed-0005_s2_n16.npz,
157,maze_train,maze,train,medium-mazes-seed-0005,2,24,generated,31,433,744,311,433,mapf_lns2,episode_0000157_medium-mazes-seed-0005_s2_n24.npz,
158,maze_train,maze,train,medium-mazes-seed-0005,2,32,generated,36,635,1152,517,635,mapf_lns2,episode_0000158_medium-mazes-seed-0005_s2_n32.npz,
159,maze_train,maze,train,medium-mazes-seed-0005,3,16,generated,29,254,464,210,254,mapf_lns2,episode_0000159_medium-mazes-seed-0005_s3_n16.npz,
160,maze_train,maze,train,medium-mazes-seed-0005,3,24,generated,35,422,840,418,422,mapf_lns2,episode_0000160_medium-mazes-seed-0005_s3_n24.npz,
161,maze_train,maze,train,medium-mazes-seed-0005,3,32,generated,31,553,992,439,553,mapf_lns2,episode_0000161_medium-mazes-seed-0005_s3_n32.npz,
162,maze_train,maze,train,medium-mazes-seed-0005,4,16,generated,32,272,512,240,272,mapf_lns2,episode_0000162_medium-mazes-seed-0005_s4_n16.npz,
163,maze_train,maze,train,medium-mazes-seed-0005,4,24,generated,39,430,936,506,430,mapf_lns2,episode_0000163_medium-mazes-seed-0005_s4_n24.npz,
164,maze_train,maze,train,medium-mazes-seed-0005,4,32,generated,39,632,1248,616,632,mapf_lns2,episode_0000164_medium-mazes-seed-0005_s4_n32.npz,
165,maze_train,maze,train,medium-mazes-seed-0005,5,16,generated,30,278,480,202,278,mapf_lns2,episode_0000165_medium-mazes-seed-0005_s5_n16.npz,
166,maze_train,maze,train,medium-mazes-seed-0005,5,24,generated,35,476,840,364,476,mapf_lns2,episode_0000166_medium-mazes-seed-0005_s5_n24.npz,
167,maze_train,maze,train,medium-mazes-seed-0005,5,32,generated,34,609,1088,479,609,mapf_lns2,episode_0000167_medium-mazes-seed-0005_s5_n32.npz,
168,maze_train,maze,train,medium-mazes-seed-0005,6,16,generated,31,269,496,227,269,mapf_lns2,episode_0000168_medium-mazes-seed-0005_s6_n16.npz,
169,maze_train,maze,train,medium-mazes-seed-0005,6,24,generated,36,416,864,448,416,mapf_lns2,episode_0000169_medium-mazes-seed-0005_s6_n24.npz,
170,maze_train,maze,train,medium-mazes-seed-0005,6,32,generated,32,587,1024,437,587,mapf_lns2,episode_0000170_medium-mazes-seed-0005_s6_n32.npz,
171,maze_train,maze,train,medium-mazes-seed-0005,7,16,generated,27,246,432,186,246,mapf_lns2,episode_0000171_medium-mazes-seed-0005_s7_n16.npz,
